Date,Open,High,Low,Close,Adj Close,Volume,Daily Range,Daily Span
2000-01-03,49.833332,50.25,48.083332,48.583332,24.406227,12019200,-1.25,2.1666680000000014
2000-01-04,47.083332,47.458332,46.125,47.25,23.870712,11723400,0.16666800000000137,1.3333319999999986
2000-01-05,46.833332,48.375,46.0,46.958332,23.723372,8714550,0.125,2.375
2000-01-06,46.75,48.625,46.5,47.625,24.060173,8369250,0.875,2.125
2000-01-07,48.416668,49.0,47.333332,48.5,24.50222,6571950,0.08333199999999863,1.6666680000000014
2000-01-10,48.5,48.916668,47.666668,47.666668,24.081224,4723500,-0.8333319999999986,1.25
2000-01-11,46.666668,46.958332,45.5,46.541668,23.512886,8405550,-0.125,1.4583319999999986
2000-01-12,46.458332,47.25,46.333332,46.833332,23.660227,7271850,0.375,0.9166680000000014
2000-01-13,47.416668,48.333332,47.041668,47.541668,24.018082,6918900,0.125,1.2916639999999973
2000-01-14,49.291668,50.5,48.541668,49.25,24.881115,9731850,-0.04166800000000137,1.9583319999999986
2000-01-18,49.291668,49.666668,46.833332,47.333332,23.912806,5296650,-1.9583360000000027,2.8333360000000027
2000-01-19,48.166668,50.25,48.166668,49.416668,24.965328,15734700,1.25,2.0833319999999986
2000-01-20,50.25,50.666668,48.5,49.375,24.944269,7770300,-0.875,2.1666680000000014
2000-01-21,49.25,49.333332,48.416668,48.625,24.565371,5160600,-0.625,0.9166639999999973
2000-01-24,49.583332,49.708332,48.125,48.666668,24.58642,6459150,-0.9166639999999973,1.5833319999999986
2000-01-25,48.666668,50.5,48.666668,49.75,25.133717,7579950,1.0833319999999986,1.8333319999999986
2000-01-26,50.25,52.666668,50.0,52.291668,26.417786,8386650,2.0416680000000014,2.6666680000000014
2000-01-27,52.958332,54.333332,52.375,53.791668,27.175577,8165850,0.8333360000000027,1.9583319999999986
2000-01-28,53.041668,53.041668,51.083332,51.125,25.828373,7500000,-1.9166680000000014,1.9583360000000027
2000-01-31,51.208332,54.333332,51.208332,53.791668,27.175577,7160250,2.5833360000000027,3.125
2000-02-01,54.958332,56.333332,54.208332,55.833332,28.207029,9651000,0.875,2.125
2000-02-02,55.333332,56.125,54.25,54.916668,27.743925,7126200,-0.41666399999999726,1.875
2000-02-03,55.666668,56.583332,53.5,55.458332,28.017576,9200250,-0.20833600000000274,3.0833319999999986
2000-02-04,55.0,55.541668,54.375,54.5,27.533438,5115150,-0.5,1.1666680000000014
2000-02-07,54.791668,55.583332,54.5,54.791668,27.68078,4684200,0.0,1.0833319999999986
2000-02-08,56.041668,57.416668,56.0,56.708332,28.649084,6318600,0.6666639999999973,1.4166680000000014
2000-02-09,56.625,57.583332,54.958332,55.25,27.912312,9818550,-1.375,2.625
2000-02-10,55.416668,55.833332,54.25,55.416668,27.996521,6880500,0.0,1.5833319999999986
2000-02-11,55.5,56.666668,54.666668,55.083332,27.828123,7052550,-0.41666800000000137,2.0
2000-02-14,54.833332,55.625,52.708332,52.708332,26.628263,5904750,-2.125,2.9166680000000014
2000-02-15,53.375,55.0,53.083332,54.041668,27.301878,8965500,0.6666680000000014,1.9166680000000014
2000-02-16,54.0,54.791668,52.666668,53.0,26.77562,4829700,-1.0,2.125
2000-02-17,53.75,54.333332,51.875,52.25,26.396719,5716200,-1.5,2.4583319999999986
2000-02-18,52.041668,52.375,49.708332,49.833332,25.175819,8121300,-2.2083360000000027,2.6666680000000014
2000-02-22,50.666668,52.583332,50.083332,51.5,26.017834,7068600,0.8333319999999986,2.5
2000-02-23,51.583332,52.791668,51.041668,51.583332,26.059921,4452900,0.0,1.75
2000-02-24,51.5,51.708332,49.75,50.666668,25.596823,5199900,-0.8333319999999986,1.9583319999999986
2000-02-25,51.083332,52.5,49.916668,50.583332,25.554716,4644300,-0.5,2.5833319999999986
2000-02-28,51.166668,53.5,50.916668,51.958332,26.249365,6051000,0.7916639999999973,2.5833319999999986
2000-02-29,51.791668,54.0,51.791668,53.083332,26.817719,6166950,1.2916639999999973,2.2083319999999986
2000-03-01,53.25,54.666668,52.583332,54.666668,27.617632,4866300,1.4166680000000014,2.0833360000000027
2000-03-02,53.666668,54.083332,53.166668,53.708332,27.133476,3583800,0.04166399999999726,0.9166639999999973
2000-03-03,54.666668,54.916668,52.916668,54.083332,27.322924,5981400,-0.5833360000000027,2.0
2000-03-06,55.291668,56.25,54.833332,55.625,28.101784,5691450,0.33333199999999863,1.4166680000000014
2000-03-07,55.625,56.125,54.0,54.541668,27.55447,4566900,-1.0833319999999986,2.125
